    Finished `release` profile [optimized] target(s) in 0.08s
     Running tests/bench.rs (/Volumes/betterSSD/tessera-cache/target/M5-08/release/deps/bench-7d69129e3441e55c)

running 1 test
trace pixel (1366,903), tile=TileCoord { level: 0, x: 5, y: 3 }, sample=34646
prefix=30 id=LayerId(94) mode=Overlay CPU=[0.09442958, 0.48022416, 0.28437987, 1.0] GPU=[0.09442958, 0.48022416, 0.28437987, 1.0] error=0e0
prefix=31 id=LayerId(85) mode=Multiply CPU=[0.0819871, 0.43369725, 0.26591977, 1.0] GPU=[0.0819871, 0.43369725, 0.26591977, 1.0] error=0e0
prefix=32 id=LayerId(67) mode=Overlay CPU=[0.081086844, 0.44910428, 0.28670263, 1.0] GPU=[0.081086844, 0.44910428, 0.28670263, 1.0] error=0e0
prefix=33 id=LayerId(58) mode=Multiply CPU=[0.07277677, 0.41526175, 0.27222753, 1.0] GPU=[0.07277677, 0.41526175, 0.27222753, 1.0] error=0e0
prefix=34 id=LayerId(40) mode=Overlay CPU=[0.0715781, 0.43738988, 0.30414125, 1.0] GPU=[0.0715781, 0.43738988, 0.30414125, 1.0] error=0e0
prefix=35 id=LayerId(31) mode=Multiply CPU=[0.0663384, 0.4138472, 0.293173, 1.0] GPU=[0.0663384, 0.4138472, 0.293173, 1.0] error=0e0
prefix=36 id=LayerId(22) mode=Subtract CPU=[0.055412073, 0.34568414, 0.24488567, 1.0] GPU=[0.055412073, 0.34568414, 0.24488567, 1.0] error=0e0
prefix=37 id=LayerId(13) mode=Overlay CPU=[0.05470222, 0.36001125, 0.26721442, 1.0] GPU=[0.05470222, 0.36001125, 0.26721442, 1.0] error=0e0
prefix=38 id=LayerId(6) mode=LinearBurn CPU=[0.04451259, 0.29295033, 0.21743917, 1.0] GPU=[0.04451259, 0.29295033, 0.21743917, 1.0] error=0e0
prefix=39 id=LayerId(95) mode=SoftLight CPU=[0.042331576, 0.3141717, 0.2459079, 1.0] GPU=[0.042331576, 0.3141717, 0.2459079, 1.0] error=0e0
prefix=40 id=LayerId(86) mode=ColorBurn CPU=[0.03444628, 0.2556495, 0.20010152, 1.0] GPU=[0.03444628, 0.2556495, 0.20010152, 1.0] error=0e0
prefix=41 id=LayerId(68) mode=SoftLight CPU=[0.033119727, 0.272266, 0.22209804, 1.0] GPU=[0.033119727, 0.27226603, 0.22209804, 1.0] error=2.9802322e-8
prefix=42 id=LayerId(59) mode=ColorBurn CPU=[0.02324875, 0.19112006, 0.15590411, 1.0] GPU=[0.02324875, 0.19112009, 0.15590411, 1.0] error=2.9802322e-8
prefix=43 id=LayerId(32) mode=ColorBurn CPU=[0.01805197, 0.1483991, 0.121054955, 1.0] GPU=[0.01805197, 0.14839911, 0.121054955, 1.0] error=1.4901161e-8
prefix=44 id=LayerId(23) mode=Divide CPU=[0.024459634, 0.17137732, 0.13656265, 1.0] GPU=[0.024459634, 0.17137733, 0.13656265, 1.0] error=1.4901161e-8
prefix=45 id=LayerId(14) mode=SoftLight CPU=[0.023371976, 0.18980785, 0.16025311, 1.0] GPU=[0.023371976, 0.18980786, 0.16025311, 1.0] error=1.4901161e-8
prefix=46 id=LayerId(7) mode=DarkerColor CPU=[0.023371978, 0.18980785, 0.16025311, 1.0] GPU=[0.023371978, 0.18980788, 0.16025311, 1.0] error=2.9802322e-8
prefix=47 id=LayerId(96) mode=HardLight CPU=[0.021366356, 0.24587652, 0.16412738, 1.0] GPU=[0.021366356, 0.24587655, 0.16412738, 1.0] error=2.9802322e-8
prefix=48 id=LayerId(87) mode=LinearBurn CPU=[0.015333503, 0.17645256, 0.117785536, 1.0] GPU=[0.015333503, 0.17645259, 0.117785536, 1.0] error=2.9802322e-8
prefix=49 id=LayerId(69) mode=HardLight CPU=[0.014327679, 0.22001854, 0.120896846, 1.0] GPU=[0.014327678, 0.22001857, 0.12089684, 1.0] error=2.9802322e-8
prefix=50 id=LayerId(60) mode=LinearBurn CPU=[0.0082594855, 0.12683421, 0.069693476, 1.0] GPU=[0.0082594855, 0.12683424, 0.069693476, 1.0] error=2.9802322e-8
prefix=51 id=LayerId(51) mode=Hue CPU=[0.008059298, 0.12663403, 0.071313195, 1.0] GPU=[0.008059295, 0.12663405, 0.0713132, 1.0] error=1.4901161e-8
prefix=52 id=LayerId(33) mode=LinearBurn CPU=[0.0054044705, 0.084919296, 0.04782179, 1.0] GPU=[0.0054044686, 0.0849193, 0.047821797, 1.0] error=7.450581e-9
prefix=53 id=LayerId(24) mode=Hue CPU=[0.005240218, 0.08475505, 0.04915075, 1.0] GPU=[0.005240217, 0.08475505, 0.04915075, 1.0] error=9.313226e-10
